	Feature1	Feature2	Interaction
332	Chr2_14992697	GB_mCG_AT5G51820	0.0
331	Chr2_14992697	AT5G59570	0.0
330	Chr2_14992697	Chr3_4067101	0.0
315	GB_mCG_AT2G46340	Chr2_14992697	0.0
313	GB_mCG_AT5G63960	GB_mCG_AT2G18915	0.0
284	AT5G13790	Chr2_14992697	0.0
312	GB_mCG_AT5G63960	Chr3_6550830	0.0
299	GB_mCG_AT5G63960	GB_mCG_AT2G46340	0.0
298	AT5G13790	GB_mCG_AT4G27910	0.0
279	AT5G62165	Chr3_6550830	0.0
296	AT5G13790	Chr3_6550830	0.0
280	AT5G62165	GB_mCG_AT2G18915	0.0
294	AT5G13790	AT4G09180	0.0
293	AT5G13790	GB_mCG_AT5G64610	0.0
292	AT5G13790	GB_mCG_AT5G10140	0.0
291	AT5G13790	Chr3_819810	0.0
290	AT5G13790	Chr1_17830221	0.0
289	AT5G13790	AT2G25930	0.0
288	AT5G13790	GB_mCG_AT2G27990	0.0
281	AT5G62165	GB_mCG_AT4G27910	0.0
287	AT5G13790	GB_mCG_AT5G51820	0.0
282	AT5G13790	GB_mCG_AT5G63960	0.0
286	AT5G13790	AT5G59570	0.0
285	AT5G13790	Chr3_4067101	0.0
278	AT5G62165	Chr2_13978841	0.0
300	GB_mCG_AT5G63960	Chr2_14992697	0.0
301	GB_mCG_AT5G63960	Chr3_4067101	0.0
305	GB_mCG_AT5G63960	AT2G25930	0.0
311	GB_mCG_AT5G63960	Chr2_13978841	0.0
270	AT5G62165	GB_mCG_AT5G51820	0.0
310	GB_mCG_AT5G63960	AT4G09180	0.0
309	GB_mCG_AT5G63960	GB_mCG_AT5G64610	0.0
308	GB_mCG_AT5G63960	GB_mCG_AT5G10140	0.0
307	GB_mCG_AT5G63960	Chr3_819810	0.0
306	GB_mCG_AT5G63960	Chr1_17830221	0.0
271	AT5G62165	GB_mCG_AT2G27990	0.0
277	AT5G62165	AT4G09180	0.0
272	AT5G62165	AT2G25930	0.0
273	AT5G62165	Chr1_17830221	0.0
303	GB_mCG_AT5G63960	GB_mCG_AT5G51820	0.0
302	GB_mCG_AT5G63960	AT5G59570	0.0
274	AT5G62165	Chr3_819810	0.0
275	AT5G62165	GB_mCG_AT5G10140	0.0
276	AT5G62165	GB_mCG_AT5G64610	0.0
342	Chr2_14992697	GB_mCG_AT2G18915	0.0
378	GB_mCG_AT5G51820	GB_mCG_AT2G18915	0.0
343	Chr2_14992697	GB_mCG_AT4G27910	0.0
412	Chr3_819810	GB_mCG_AT2G18915	0.0
410	Chr3_819810	Chr2_13978841	0.0
409	Chr3_819810	AT4G09180	0.0
408	Chr3_819810	GB_mCG_AT5G64610	0.0
407	Chr3_819810	GB_mCG_AT5G10140	0.0
406	Chr1_17830221	GB_mCG_AT4G27910	0.0
405	Chr1_17830221	GB_mCG_AT2G18915	0.0
404	Chr1_17830221	Chr3_6550830	0.0
403	Chr1_17830221	Chr2_13978841	0.0
402	Chr1_17830221	AT4G09180	0.0
401	Chr1_17830221	GB_mCG_AT5G64610	0.0
400	Chr1_17830221	GB_mCG_AT5G10140	0.0
399	Chr1_17830221	Chr3_819810	0.0
398	AT2G25930	GB_mCG_AT4G27910	0.0
397	AT2G25930	GB_mCG_AT2G18915	0.0
396	AT2G25930	Chr3_6550830	0.0
395	AT2G25930	Chr2_13978841	0.0
394	AT2G25930	AT4G09180	0.0
392	AT2G25930	GB_mCG_AT5G10140	0.0
391	AT2G25930	Chr3_819810	0.0
411	Chr3_819810	Chr3_6550830	0.0
413	Chr3_819810	GB_mCG_AT4G27910	0.0
344	Chr3_4067101	AT5G59570	0.0
414	GB_mCG_AT5G10140	GB_mCG_AT5G64610	0.0
433	Chr3_6550830	GB_mCG_AT4G27910	0.0
432	Chr3_6550830	GB_mCG_AT2G18915	0.0
431	Chr2_13978841	GB_mCG_AT4G27910	0.0
430	Chr2_13978841	GB_mCG_AT2G18915	0.0
429	Chr2_13978841	Chr3_6550830	0.0
428	AT4G09180	GB_mCG_AT4G27910	0.0
427	AT4G09180	GB_mCG_AT2G18915	0.0
426	AT4G09180	Chr3_6550830	0.0
425	AT4G09180	Chr2_13978841	0.0
424	GB_mCG_AT5G64610	GB_mCG_AT4G27910	0.0
423	GB_mCG_AT5G64610	GB_mCG_AT2G18915	0.0
422	GB_mCG_AT5G64610	Chr3_6550830	0.0
421	GB_mCG_AT5G64610	Chr2_13978841	0.0
420	GB_mCG_AT5G64610	AT4G09180	0.0
419	GB_mCG_AT5G10140	GB_mCG_AT4G27910	0.0
418	GB_mCG_AT5G10140	GB_mCG_AT2G18915	0.0
417	GB_mCG_AT5G10140	Chr3_6550830	0.0
416	GB_mCG_AT5G10140	Chr2_13978841	0.0
415	GB_mCG_AT5G10140	AT4G09180	0.0
390	AT2G25930	Chr1_17830221	0.0
389	GB_mCG_AT2G27990	GB_mCG_AT4G27910	0.0
388	GB_mCG_AT2G27990	GB_mCG_AT2G18915	0.0
387	GB_mCG_AT2G27990	Chr3_6550830	0.0
364	AT5G59570	AT4G09180	0.0
363	AT5G59570	GB_mCG_AT5G64610	0.0
362	AT5G59570	GB_mCG_AT5G10140	0.0
361	AT5G59570	Chr3_819810	0.0
360	AT5G59570	Chr1_17830221	0.0
358	AT5G59570	GB_mCG_AT2G27990	0.0
357	AT5G59570	GB_mCG_AT5G51820	0.0
356	Chr3_4067101	GB_mCG_AT4G27910	0.0
355	Chr3_4067101	GB_mCG_AT2G18915	0.0
354	Chr3_4067101	Chr3_6550830	0.0
353	Chr3_4067101	Chr2_13978841	0.0
352	Chr3_4067101	AT4G09180	0.0
351	Chr3_4067101	GB_mCG_AT5G64610	0.0
350	Chr3_4067101	GB_mCG_AT5G10140	0.0
349	Chr3_4067101	Chr3_819810	0.0
348	Chr3_4067101	Chr1_17830221	0.0
347	Chr3_4067101	AT2G25930	0.0
346	Chr3_4067101	GB_mCG_AT2G27990	0.0
345	Chr3_4067101	GB_mCG_AT5G51820	0.0
365	AT5G59570	Chr2_13978841	0.0
366	AT5G59570	Chr3_6550830	0.0
367	AT5G59570	GB_mCG_AT2G18915	0.0
262	AT5G60910	GB_mCG_AT2G18915	0.0
386	GB_mCG_AT2G27990	Chr2_13978841	0.0
385	GB_mCG_AT2G27990	AT4G09180	0.0
384	GB_mCG_AT2G27990	GB_mCG_AT5G64610	0.0
383	GB_mCG_AT2G27990	GB_mCG_AT5G10140	0.0
382	GB_mCG_AT2G27990	Chr3_819810	0.0
381	GB_mCG_AT2G27990	Chr1_17830221	0.0
380	GB_mCG_AT2G27990	AT2G25930	0.0
379	GB_mCG_AT5G51820	GB_mCG_AT4G27910	0.0
377	GB_mCG_AT5G51820	Chr3_6550830	0.0
368	AT5G59570	GB_mCG_AT4G27910	0.0
376	GB_mCG_AT5G51820	Chr2_13978841	0.0
375	GB_mCG_AT5G51820	AT4G09180	0.0
374	GB_mCG_AT5G51820	GB_mCG_AT5G64610	0.0
373	GB_mCG_AT5G51820	GB_mCG_AT5G10140	0.0
372	GB_mCG_AT5G51820	Chr3_819810	0.0
371	GB_mCG_AT5G51820	Chr1_17830221	0.0
370	GB_mCG_AT5G51820	AT2G25930	0.0
369	GB_mCG_AT5G51820	GB_mCG_AT2G27990	0.0
263	AT5G60910	GB_mCG_AT4G27910	0.0
217	Chr5_25984660	Chr3_819810	0.0
261	AT5G60910	Chr3_6550830	0.0
127	Chr1_3873200	Chr3_819810	0.0
135	AT1G09530	Chr5_25956134	0.0
134	Chr1_3873200	GB_mCG_AT4G27910	0.0
133	Chr1_3873200	GB_mCG_AT2G18915	0.0
132	Chr1_3873200	Chr3_6550830	0.0
131	Chr1_3873200	Chr2_13978841	0.0
130	Chr1_3873200	AT4G09180	0.0
129	Chr1_3873200	GB_mCG_AT5G64610	0.0
128	Chr1_3873200	GB_mCG_AT5G10140	0.0
126	Chr1_3873200	Chr1_17830221	0.0
137	AT1G09530	Chr5_25984660	0.0
124	Chr1_3873200	GB_mCG_AT2G27990	0.0
123	Chr1_3873200	GB_mCG_AT5G51820	0.0
122	Chr1_3873200	AT5G59570	0.0
121	Chr1_3873200	Chr3_4067101	0.0
120	Chr1_3873200	Chr2_14992697	0.0
119	Chr1_3873200	GB_mCG_AT2G46340	0.0
117	Chr1_3873200	AT5G13790	0.0
116	Chr1_3873200	AT5G62165	0.0
136	AT1G09530	GB_mCG_AT2G18880	0.0
138	AT1G09530	AT3G57920	0.0
164	Chr5_25956134	AT5G13790	0.0
150	AT1G09530	Chr1_17830221	0.0
161	Chr5_25956134	AT3G57920	0.0
160	Chr5_25956134	Chr5_25984660	0.0
157	AT1G09530	GB_mCG_AT2G18915	0.0
155	AT1G09530	Chr2_13978841	0.0
154	AT1G09530	AT4G09180	0.0
153	AT1G09530	GB_mCG_AT5G64610	0.0
152	AT1G09530	GB_mCG_AT5G10140	0.0
151	AT1G09530	Chr3_819810	0.0
149	AT1G09530	AT2G25930	0.0
139	AT1G09530	AT5G60910	0.0
148	AT1G09530	GB_mCG_AT2G27990	0.0
147	AT1G09530	GB_mCG_AT5G51820	0.0
146	AT1G09530	AT5G59570	0.0
144	AT1G09530	Chr2_14992697	0.0
143	AT1G09530	GB_mCG_AT2G46340	0.0
142	AT1G09530	GB_mCG_AT5G63960	0.0
141	AT1G09530	AT5G13790	0.0
140	AT1G09530	AT5G62165	0.0
115	Chr1_3873200	AT5G60910	0.0
114	Chr1_3873200	AT3G57920	0.0
113	Chr1_3873200	Chr5_25984660	0.0
66	AT5G10140	AT5G13790	0.0
80	AT5G10140	Chr2_13978841	0.0
79	AT5G10140	AT4G09180	0.0
77	AT5G10140	GB_mCG_AT5G10140	0.0
75	AT5G10140	Chr1_17830221	0.0
73	AT5G10140	GB_mCG_AT2G27990	0.0
71	AT5G10140	AT5G59570	0.0
68	AT5G10140	GB_mCG_AT2G46340	0.0
67	AT5G10140	GB_mCG_AT5G63960	0.0
65	AT5G10140	AT5G62165	0.0
109	Chr5_18590743	GB_mCG_AT4G27910	0.0
63	AT5G10140	AT3G57920	0.0
59	AT5G10140	AT1G09530	0.0
57	AT5G10140	Chr5_18590743	0.0
56	AT1G65480	GB_mCG_AT4G27910	0.0
41	AT1G65480	GB_mCG_AT2G46340	0.0
35	AT1G65480	Chr5_25984660	0.0
20	AT2G45660	Chr1_17830221	0.0
13	AT2G45660	GB_mCG_AT2G46340	0.0
81	AT5G10140	Chr3_6550830	0.0
82	AT5G10140	GB_mCG_AT2G18915	0.0
83	AT5G10140	GB_mCG_AT4G27910	0.0
88	Chr5_18590743	Chr5_25984660	0.0
108	Chr5_18590743	GB_mCG_AT2G18915	0.0
106	Chr5_18590743	Chr2_13978841	0.0
105	Chr5_18590743	AT4G09180	0.0
104	Chr5_18590743	GB_mCG_AT5G64610	0.0
103	Chr5_18590743	GB_mCG_AT5G10140	0.0
102	Chr5_18590743	Chr3_819810	0.0
101	Chr5_18590743	Chr1_17830221	0.0
100	Chr5_18590743	AT2G25930	0.0
99	Chr5_18590743	GB_mCG_AT2G27990	0.0
98	Chr5_18590743	GB_mCG_AT5G51820	0.0
97	Chr5_18590743	AT5G59570	0.0
96	Chr5_18590743	Chr3_4067101	0.0
95	Chr5_18590743	Chr2_14992697	0.0
94	Chr5_18590743	GB_mCG_AT2G46340	0.0
92	Chr5_18590743	AT5G13790	0.0
90	Chr5_18590743	AT5G60910	0.0
89	Chr5_18590743	AT3G57920	0.0
163	Chr5_25956134	AT5G62165	0.0
165	Chr5_25956134	GB_mCG_AT5G63960	0.0
260	AT5G60910	Chr2_13978841	0.0
227	AT3G57920	AT5G13790	0.0
236	AT3G57920	Chr1_17830221	0.0
235	AT3G57920	AT2G25930	0.0
234	AT3G57920	GB_mCG_AT2G27990	0.0
233	AT3G57920	GB_mCG_AT5G51820	0.0
231	AT3G57920	Chr3_4067101	0.0
230	AT3G57920	Chr2_14992697	0.0
229	AT3G57920	GB_mCG_AT2G46340	0.0
228	AT3G57920	GB_mCG_AT5G63960	0.0
226	AT3G57920	AT5G62165	0.0
238	AT3G57920	GB_mCG_AT5G10140	0.0
225	AT3G57920	AT5G60910	0.0
224	Chr5_25984660	GB_mCG_AT4G27910	0.0
223	Chr5_25984660	GB_mCG_AT2G18915	0.0
222	Chr5_25984660	Chr3_6550830	0.0
221	Chr5_25984660	Chr2_13978841	0.0
220	Chr5_25984660	AT4G09180	0.0
219	Chr5_25984660	GB_mCG_AT5G64610	0.0
218	Chr5_25984660	GB_mCG_AT5G10140	0.0
237	AT3G57920	Chr3_819810	0.0
239	AT3G57920	GB_mCG_AT5G64610	0.0
166	Chr5_25956134	GB_mCG_AT2G46340	0.0
250	AT5G60910	Chr3_4067101	0.0
259	AT5G60910	AT4G09180	0.0
258	AT5G60910	GB_mCG_AT5G64610	0.0
257	AT5G60910	GB_mCG_AT5G10140	0.0
256	AT5G60910	Chr3_819810	0.0
255	AT5G60910	Chr1_17830221	0.0
254	AT5G60910	AT2G25930	0.0
252	AT5G60910	GB_mCG_AT5G51820	0.0
251	AT5G60910	AT5G59570	0.0
249	AT5G60910	Chr2_14992697	0.0
240	AT3G57920	AT4G09180	0.0
248	AT5G60910	GB_mCG_AT2G46340	0.0
247	AT5G60910	GB_mCG_AT5G63960	0.0
246	AT5G60910	AT5G13790	0.0
245	AT5G60910	AT5G62165	0.0
244	AT3G57920	GB_mCG_AT4G27910	0.0
243	AT3G57920	GB_mCG_AT2G18915	0.0
242	AT3G57920	Chr3_6550830	0.0
241	AT3G57920	Chr2_13978841	0.0
216	Chr5_25984660	Chr1_17830221	0.0
215	Chr5_25984660	AT2G25930	0.0
214	Chr5_25984660	GB_mCG_AT2G27990	0.0
178	Chr5_25956134	Chr2_13978841	0.0
187	GB_mCG_AT2G18880	GB_mCG_AT5G63960	0.0
186	GB_mCG_AT2G18880	AT5G13790	0.0
185	GB_mCG_AT2G18880	AT5G62165	0.0
183	GB_mCG_AT2G18880	AT3G57920	0.0
182	GB_mCG_AT2G18880	Chr5_25984660	0.0
181	Chr5_25956134	GB_mCG_AT4G27910	0.0
180	Chr5_25956134	GB_mCG_AT2G18915	0.0
179	Chr5_25956134	Chr3_6550830	0.0
177	Chr5_25956134	AT4G09180	0.0
213	Chr5_25984660	GB_mCG_AT5G51820	0.0
176	Chr5_25956134	GB_mCG_AT5G64610	0.0
174	Chr5_25956134	Chr3_819810	0.0
173	Chr5_25956134	Chr1_17830221	0.0
172	Chr5_25956134	AT2G25930	0.0
170	Chr5_25956134	GB_mCG_AT5G51820	0.0
169	Chr5_25956134	AT5G59570	0.0
168	Chr5_25956134	Chr3_4067101	0.0
167	Chr5_25956134	Chr2_14992697	0.0
188	GB_mCG_AT2G18880	GB_mCG_AT2G46340	0.0
189	GB_mCG_AT2G18880	Chr2_14992697	0.0
190	GB_mCG_AT2G18880	Chr3_4067101	0.0
191	GB_mCG_AT2G18880	AT5G59570	0.0
212	Chr5_25984660	AT5G59570	0.0
211	Chr5_25984660	Chr3_4067101	0.0
210	Chr5_25984660	Chr2_14992697	0.0
209	Chr5_25984660	GB_mCG_AT2G46340	0.0
208	Chr5_25984660	GB_mCG_AT5G63960	0.0
207	Chr5_25984660	AT5G13790	0.0
206	Chr5_25984660	AT5G62165	0.0
205	Chr5_25984660	AT5G60910	0.0
204	Chr5_25984660	AT3G57920	0.0
203	GB_mCG_AT2G18880	GB_mCG_AT4G27910	0.0
202	GB_mCG_AT2G18880	GB_mCG_AT2G18915	0.0
200	GB_mCG_AT2G18880	Chr2_13978841	0.0
199	GB_mCG_AT2G18880	AT4G09180	0.0
198	GB_mCG_AT2G18880	GB_mCG_AT5G64610	0.0
197	GB_mCG_AT2G18880	GB_mCG_AT5G10140	0.0
196	GB_mCG_AT2G18880	Chr3_819810	0.0
195	GB_mCG_AT2G18880	Chr1_17830221	0.0
434	GB_mCG_AT2G18915	GB_mCG_AT4G27910	0.0
